Class_path,Method_%,Method_fraction,Block_%,Block_fraction,Branch_%,Branch_fraction,Line_%,Line_fraction
org\apache\commons\math4\distribution\GammaDistributionTest,0,(0/26),0,(0/82),0,(0/38),0,(0/163)
org\apache\commons\math4\distribution\GeometricDistributionTest,0,(0/10),0,(0/13),0,(0/2),0,(0/25)
org\apache\commons\math4\distribution\GumbelDistributionTest,0,(0/7),0,(0/7),-,,0,(0/14)
org\apache\commons\math4\distribution\HypergeometricDistributionTest,0,(0/22),0,(0/59),0,(0/18),0,(0/147)
org\apache\commons\math4\distribution\IntegerDistributionAbstractTest,0,(0/38),0,(0/72),0,(0/20),0,(0/119)
org\apache\commons\math4\distribution\LaplaceDistributionTest,0,(0/7),0,(0/7),-,,0,(0/14)
org\apache\commons\math4\distribution\LevyDistributionTest,0,(0/8),0,(0/8),-,,0,(0/15)
org\apache\commons\math4\distribution\LogisticsDistributionTest,0,(0/7),0,(0/7),-,,0,(0/14)
org\apache\commons\math4\distribution\LogNormalDistributionTest,0,(0/19),0,(0/34),0,(0/10),0,(0/83)
org\apache\commons\math4\distribution\MixtureMultivariateNormalDistributionTest,0,(0/7),0,(0/16),0,(0/6),0,(0/42)
org\apache\commons\math4\distribution\MultivariateNormalDistributionTest,0,(0/6),0,(0/39),0,(0/22),0,(0/60)
org\apache\commons\math4\distribution\NakagamiDistributionTest,0,(0/7),0,(0/7),-,,0,(0/14)
org\apache\commons\math4\distribution\NormalDistributionTest,0,(0/18),0,(0/39),0,(0/14),0,(0/90)
org\apache\commons\math4\distribution\ParetoDistributionTest,0,(0/18),0,(0/33),0,(0/10),0,(0/76)
org\apache\commons\math4\distribution\PascalDistributionTest,0,(0/12),0,(0/12),-,,0,(0/42)
org\apache\commons\math4\distribution\PoissonDistributionTest,0,(0/18),0,(0/48),0,(0/18),0,(0/91)
org\apache\commons\math4\distribution\RealDistributionAbstractTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\distribution\RealDistributionAbstractTest,0,(0/38),0,(0/87),0,(0/30),0,(0/153)
org\apache\commons\math4\distribution\TDistributionTest,0,(0/15),0,(0/21),0,(0/4),0,(0/62)
org\apache\commons\math4\distribution\TriangularDistributionTest,0,(0/15),0,(0/15),-,,0,(0/43)
org\apache\commons\math4\distribution\UniformIntegerDistributionTest,0,(0/13),0,(0/15),-,,0,(0/38)
org\apache\commons\math4\distribution\UniformRealDistributionTest,0,(0/12),0,(0/12),-,,0,(0/32)
org\apache\commons\math4\distribution\WeibullDistributionTest,0,(0/10),0,(0/14),-,,0,(0/39)
org\apache\commons\math4\distribution\ZipfDistributionTest,0,(0/14),0,(0/38),0,(0/16),0,(0/57)
